id,name,gender,category,ideal_shapes,avoid_shapes,occasion,image_url,price,description,color,ideal_skin_tones,search_term
W001,Ribbed Boat-Neck Top,female,tops,pear|rectangle,inverted_triangle,casual,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400,39.99,Elegant boat-neck top that draws attention to the shoulders.,Mustard Yellow,warm|medium_olive|deep,Mustard Yellow Ribbed Boat-Neck Top
W002,Off-Shoulder Puff Sleeve Blouse,female,tops,pear|rectangle,inverted_triangle,party,https://images.unsplash.com/photo-1564257631407-4deb1f99d992?w=400,45.00,Chic off-shoulder top featuring stylish puff sleeves.,Emerald Green,cool|fair|deep|medium_olive,Emerald Green Off-Shoulder Puff Sleeve Blouse
W003,Deep V-Neck Wrap Blouse,female,tops,apple|inverted_triangle|hourglass,pear,casual,https://images.unsplash.com/photo-1603217040743-26a667868e62?w=400,42.50,Flattering V-neck wrap top that creates an elongated vertical line.,Dusty Rose,neutral|fair|warm,Dusty Rose Deep V-Neck Wrap Blouse
W004,Peplum Waist Detailed Top,female,tops,rectangle|hourglass,apple,party,https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400,49.00,Peplum hem blouse designed to accentuate or create waist definition.,Ruby Red,cool|deep|medium_olive,Ruby Red Peplum Waist Detailed Blouse
W005,Classic Fitted Wrap Shirt,female,tops,hourglass|apple,rectangle,formal,https://images.unsplash.com/photo-1598554747436-c9293d6a588f?w=400,55.00,Tailored wrap shirt nipped at the waist for a sleek silhouette.,Cream,warm|neutral|fair|deep,Cream Tailored Fitted Wrap Shirt
W006,Dark Wash Bootcut Denim Jeans,female,bottoms,pear|apple,inverted_triangle,casual,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=400,68.00,Dark wash bootcut jeans designed to balance hips and lower body.,Dark Blue Denim,all,Dark Wash Bootcut Jeans
W007,High-Waisted Straight Leg Trousers,female,bottoms,pear|hourglass|rectangle,apple,formal,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=400,75.00,Tailored high-waist trousers that lengthen the silhouette.,Charcoal Gray,cool|neutral|fair|medium_olive,Charcoal Gray High-Waisted Straight Trousers
W008,High-Waisted Pencil Skirt,female,bottoms,hourglass,rectangle|apple,formal,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,59.99,Classic high-waisted pencil skirt emphasizing a natural waistline.,Black,all,Black High-Waisted Pencil Skirt
W009,Flared Pleated Midi Skirt,female,bottoms,inverted_triangle|rectangle,pear,party,https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=400,62.00,Voluminous pleated midi skirt adding flare and hip detail.,Cobalt Blue,cool|deep|fair,Cobalt Blue Flared Pleated Midi Skirt
W010,Classic Fit-and-Flare Dress,female,dresses,pear|rectangle|inverted_triangle|hourglass,apple,party,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400,89.99,Fit-and-flare dress with fitted bodice and flowing skirt.,Coral,warm|neutral|medium_olive,Coral Fit-and-Flare Cocktail Dress
W011,V-Neck Empire Waist Evening Gown,female,dresses,apple|pear,hourglass,formal,https://images.unsplash.com/photo-1566174053879-31528523f8ae?w=400,129.50,Elegant empire-waist gown featuring a flattering deep V-neckline.,Sapphire,cool|deep|fair|medium_olive,Sapphire Blue V-Neck Empire Waist Gown
W012,Belted Wrap Silhouette Dress,female,dresses,hourglass|apple|rectangle,pear,casual,https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?w=400,79.00,Versatile wrap dress with adjustable waist tie.,Terracotta,warm|medium_olive|neutral,Terracotta Belted Wrap Dress
W013,Structured Cropped Hip Blazer,female,outerwear,pear|rectangle,apple,formal,https://images.unsplash.com/photo-1548624149-f1b2d22ee7be?w=400,110.00,Tailored blazer structured at the shoulders and ending at the hip.,Camel,warm|neutral|fair,Camel Structured Cropped Blazer
W014,Open-Front Elongating Cardigan,female,outerwear,apple|inverted_triangle,rectangle,casual,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=400,65.00,Lightweight open cardigan designed to elongate the torso.,Heather Gray,cool|neutral|fair,Heather Gray Open-Front Long Cardigan
M001,Tailored Slim Crew Neck Tee,men,tops,trapezoid|inverted_triangle,oval,casual,https://images.unsplash.com/photo-1521572267360-ee0c2909d518?w=400,29.99,Soft cotton slim-fit crew neck tee tailored for athletic builds.,Olive Green,warm|medium_olive|neutral,Olive Green Slim Crew Neck T-Shirt
M002,Horizontal Striped Chest Tee,men,tops,triangle|rectangle,inverted_triangle|oval,casual,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=400,34.50,Chest-striped tee designed to visually widen shoulders.,Navy & White,cool|fair|neutral,Navy White Striped Chest T-Shirt
M003,Dark Solid Untucked Oxford Shirt,men,tops,oval|inverted_triangle,triangle,casual,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,49.99,Casual Oxford shirt with a straight hem intended to be worn untucked.,Burgundy,cool|medium_olive|deep|fair,Burgundy Untucked Casual Oxford Shirt
M004,Structured Shoulder Blazer,men,outerwear,triangle|rectangle,inverted_triangle,formal,https://images.unsplash.com/photo-1507679799987-c73779587ccf?w=400,149.00,Blazer with light shoulder padding to broaden the chest silhouette.,Navy Blue,cool|neutral|fair|deep,Navy Blue Structured Shoulder Blazer
M005,Unbuttoned Layering Overshirt,men,outerwear,rectangle|oval,trapezoid,casual,https://images.unsplash.com/photo-1516257984-b1b4d707412e?w=400,59.00,Versatile overshirt perfect for unbuttoned vertical layering.,Khaki,warm|medium_olive|neutral,Khaki Unbuttoned Overshirt
M006,Straight-Leg Dark Wash Jeans,men,bottoms,trapezoid|triangle|inverted_triangle|rectangle|oval,none,casual,https://images.unsplash.com/photo-1542272604-780c36856842?w=400,69.99,Classic straight-fit dark denim jeans that complement every build.,Dark Wash Blue,all,Dark Wash Straight Leg Jeans
M007,Mid-Rise Tailored Chino Trousers,men,bottoms,oval|trapezoid|rectangle,triangle,formal,https://images.unsplash.com/photo-1479064555552-3ef4979f8908?w=400,79.00,Mid-rise tailored chinos designed for comfort and structured silhouette.,Beige,warm|neutral|fair,Beige Mid-Rise Tailored Chinos
M008,Classic Fitted Two-Piece Suit,men,suits,trapezoid|rectangle,oval,formal,https://images.unsplash.com/photo-1594938298603-c8148c4dae35?w=400,299.00,Timeless two-piece suit with a gently tapered waist and structured jacket.,Charcoal Gray,cool|neutral|fair|deep|medium_olive,Charcoal Gray Fitted Two-Piece Suit
M009,Single-Breasted Notch Lapel Suit,men,suits,oval|inverted_triangle|triangle,rectangle,formal,https://images.unsplash.com/photo-1593032465175-481ac7f402a1?w=400,289.00,Single-breasted suit jacket with notch lapels engineered to elongate torso.,Midnight Navy,cool|deep|fair|medium_olive,Midnight Navy Single-Breasted Notch Lapel Suit
M010,Textured Party Blazer & Trousers,men,suits,rectangle|trapezoid|triangle,oval,party,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400,249.00,Modern textured blazer paired with tailored trousers for evening wear.,Plum,cool|medium_olive|deep,Plum Textured Evening Suit Blazer
